Instance,Classical,QAOA,ConstraintGen,QAOA_Percentage,CG_Percentage
1,120.0,118.0,152.0,101.69491525423729,78.94736842105263
2,200.0,140.0,212.0,142.85714285714286,94.33962264150944
3,222.99999999999997,282.0,0.0,79.07801418439715,0.0
4,87.0,332.0,159.0,26.20481927710843,54.71698113207547
5,178.0,352.0,404.0,50.56818181818182,44.05940594059406
6,190.0,168.0,0.0,113.09523809523809,0.0
7,171.00000000000003,0.0,141.0,0.0,121.27659574468088
8,77.0,77.0,154.0,100.0,50.0
9,204.00000000000003,348.0,213.0,58.62068965517242,95.77464788732397
10,254.0,194.0,337.0,130.9278350515464,75.37091988130564
